Reading from standard input... Use '-h' or '--help' for help.
==================================[MINISAT]===================================
| Conflicts |     ORIGINAL     |              LEARNT              | Progress |
|           | Clauses Literals |   Limit Clauses Literals  Lit/Cl |          |
==============================================================================
|         0 | 3915737  9825260 | 1305245       0        0     nan |  0.000 % |
|       109 | 3915738  9825260 | 1435769     108    28583   264.7 |  8.670 % |
|       259 | 3915743  9825260 | 1579346     252    35431   140.6 |  8.670 % |
|       484 | 3915746  9825260 | 1737281     474   110469   233.1 |  8.670 % |
|       821 | 3915747  9825260 | 1911009     810   360140   444.6 |  8.670 % |
|      1327 | 3915758  9825260 | 2102110    1305   472197   361.8 |  8.670 % |
|      2086 | 3915768  9825260 | 2312321    2054   962700   468.7 |  8.670 % |
|      3227 | 3915779  9825251 | 2543553    3177  2064636   649.9 |  8.670 % |
|      4936 | 3915803  9825251 | 2797908    4860  2838588   584.1 |  8.670 % |
|      7498 | 3915866  9825251 | 3077699    7359  4867756   661.5 |  8.670 % |
|     11344 | 3915891  9825233 | 3385469   11164  7011930   628.1 |  8.671 % |
|     17113 | 3916014  9825233 | 3724016   16810  8306757   494.2 |  8.671 % |
|     25762 | 3916042  9825188 | 4096417   25364 12842658   506.3 |  8.671 % |
|     38737 | 3916104  9825170 | 4506059   38246 24997085   653.6 |  8.672 % |
|     58198 | 3916168  9825125 | 4956665   57599 35846944   622.4 |  8.673 % |
|     87390 | 3916287  9825116 | 5452332   86656 50161111   578.9 |  8.673 % |
|    131180 | 3916348  9825053 | 5997565  130318 91475661   701.9 |  8.674 % |
|    196868 | 3916452  9824981 | 6597322  195806 150467562   768.5 |  8.675 % |
|    295395 | 3916237  9823817 | 7257054  293996 230390993   783.7 |  8.684 % |
|    443185 | 3916158  9823385 | 7982759  441421 350389657   793.8 |  8.688 % |
|    664868 | 3916319  9823256 | 8781035  662726 533074253   804.4 |  8.690 % |
|    997393 | 3916750  9823211 | 9659139  994715 812262797   816.6 |  8.692 % |
