Reading from standard input... Use '-h' or '--help' for help.
==================================[MINISAT]===================================
| Conflicts |     ORIGINAL     |              LEARNT              | Progress |
|           | Clauses Literals |   Limit Clauses Literals  Lit/Cl |          |
==============================================================================
|         0 | 3918138  9829529 | 1306046       0        0     nan |  0.000 % |
|       109 | 3918139  9829529 | 1436650     108    28583   264.7 |  8.605 % |
|       259 | 3918148  9829529 | 1580315     247    39559   160.2 |  8.605 % |
|       485 | 3918150  9829529 | 1738347     471    86828   184.3 |  8.605 % |
|       824 | 3918153  9829529 | 1912181     807   144972   179.6 |  8.605 % |
|      1333 | 3918173  9829529 | 2103400    1296   294458   227.2 |  8.605 % |
|      2095 | 3918189  9829529 | 2313740    2039   676228   331.6 |  8.606 % |
|      3236 | 3918198  9829529 | 2545114    3171  1525758   481.2 |  8.606 % |
|      4945 | 3918180  9829493 | 2799625    4867  2795628   574.4 |  8.606 % |
|      7508 | 3918219  9829493 | 3079588    7388  3441007   465.8 |  8.607 % |
|     11353 | 3918162  9829379 | 3387546   11172  5067927   453.6 |  8.608 % |
|     17119 | 3918181  9829334 | 3726301   16882  8186093   484.9 |  8.608 % |
|     25770 | 3918243  9829307 | 4098931   25443 15043983   591.3 |  8.608 % |
|     38748 | 3918197  9829148 | 4508825   38277 23398627   611.3 |  8.611 % |
|     58210 | 3918230  9829103 | 4959707   57659 38967200   675.8 |  8.612 % |
|     87402 | 3918307  9829058 | 5455678   86728 61584284   710.1 |  8.613 % |
|    131192 | 3918433  9829013 | 6001246  130345 97592962   748.7 |  8.614 % |
|    196878 | 3918549  9828914 | 6601370  195802 148696273   759.4 |  8.616 % |
|    295407 | 3918430  9828524 | 7261507  294072 226938586   771.7 |  8.620 % |
|    443198 | 3918655  9828452 | 7987658  441536 350875312   794.7 |  8.622 % |
|    664882 | 3918908  9828296 | 8786424  662739 532358882   803.3 |  8.625 % |
|    997407 | 3919061  9828197 | 9665066  994939 830879075   835.1 |  8.627 % |
