Reading from standard input... Use '-h' or '--help' for help.
==================================[MINISAT]===================================
| Conflicts |     ORIGINAL     |              LEARNT              | Progress |
|           | Clauses Literals |   Limit Clauses Literals  Lit/Cl |          |
==============================================================================
|         0 | 3915736  9825564 | 1305245       0        0     nan |  0.000 % |
|       109 | 3915737  9825564 | 1435769     108    28583   264.7 |  8.671 % |
|       259 | 3915742  9825564 | 1579346     252    94614   375.5 |  8.671 % |
|       484 | 3915743  9825564 | 1737281     476   138791   291.6 |  8.671 % |
|       821 | 3915757  9825564 | 1911009     798   296180   371.2 |  8.671 % |
|      1327 | 3915765  9825564 | 2102110    1295   422758   326.5 |  8.671 % |
|      2086 | 3915769  9825564 | 2312321    2050   575210   280.6 |  8.671 % |
|      3225 | 3915764  9825537 | 2543553    3169  1138510   359.3 |  8.671 % |
|      4934 | 3915774  9825537 | 2797908    4867  2615276   537.3 |  8.671 % |
|      7496 | 3915785  9825537 | 3077699    7417  4848924   653.8 |  8.671 % |
|     11340 | 3915815  9825537 | 3385469   11217  8022922   715.2 |  8.672 % |
|     17107 | 3915808  9825474 | 3724016   16928 11605136   685.6 |  8.673 % |
|     25761 | 3915864  9825420 | 4096417   25469 16595389   651.6 |  8.673 % |
|     38736 | 3915887  9825393 | 4506059   38376 25049250   652.7 |  8.674 % |
|     58199 | 3915986  9825339 | 4956665   57683 39413671   683.3 |  8.675 % |
|     87391 | 3916174  9825312 | 5452332   86649 54381867   627.6 |  9.357 % |
|    131181 | 3888646  9781194 | 5997565  130047 95155308   731.7 |  9.360 % |
|    196873 | 3888604  9780828 | 6597322  195522 147736986   755.6 |  9.362 % |
|    295399 | 3888794  9780705 | 7257054  293699 220315254   750.1 |  9.365 % |
|    443188 | 3888965  9780606 | 7982759  441162 336344740   762.4 |  9.367 % |
|    664876 | 3889232  9780582 | 8781035  662525 512813157   774.0 |  9.368 % |
|    997402 | 3889424  9780480 | 9659139  994678 796499389   800.8 |  9.371 % |
