Reading from standard input... Use '-h' or '--help' for help.
==================================[MINISAT]===================================
| Conflicts |     ORIGINAL     |              LEARNT              | Progress |
|           | Clauses Literals |   Limit Clauses Literals  Lit/Cl |          |
==============================================================================
|         0 | 3916505  9826222 | 1305501       0        0     nan |  0.000 % |
|       109 | 3916506  9826222 | 1436051     108    28583   264.7 |  8.665 % |
|       259 | 3916519  9826222 | 1579656     243    37844   155.7 |  8.665 % |
|       484 | 3916528  9826222 | 1737621     459    62672   136.5 |  8.665 % |
|       823 | 3916531  9826222 | 1911384     795   186570   234.7 |  8.665 % |
|      1330 | 3916539  9826222 | 2102522    1294   262656   203.0 |  8.665 % |
|      2099 | 3916542  9826222 | 2312774    2060   518704   251.8 |  8.665 % |
|      3239 | 3916555  9826222 | 2544052    3186   905414   284.2 |  8.665 % |
|      4947 | 3916555  9826177 | 2798457    4855  1530900   315.3 |  8.667 % |
|      7512 | 3916573  9826177 | 3078303    7402  2561619   346.1 |  8.667 % |
|     11356 | 3916632  9826177 | 3386133   11187  4757574   425.3 |  8.667 % |
|     17126 | 3916606  9826087 | 3724746   16875  8305593   492.2 |  8.668 % |
|     25775 | 3916600  9826006 | 4097221   25450 14599921   573.7 |  8.669 % |
|     38749 | 3916666  9825952 | 4506943   38295 23913986   624.5 |  8.669 % |
|     58212 | 3916792  9825943 | 4957637   57615 40622250   705.1 |  8.670 % |
|     87404 | 3916878  9825934 | 5453401   86714 66121307   762.5 |  8.670 % |
|    131193 | 3916961  9825844 | 5998741  130321 100166993   768.6 |  8.672 % |
|    196879 | 3917297  9825817 | 6598616  195633 152288455   778.4 |  8.672 % |
|    295405 | 3917490  9825745 | 7258477  293840 231272856   787.1 |  8.674 % |
|    443197 | 3917496  9825388 | 7984325  441273 356916349   808.8 |  8.679 % |
|    664882 | 3917896  9825289 | 8782757  662427 540580482   816.1 |  8.681 % |
|    997409 | 3917978  9825118 | 9661033  994608 840500292   845.1 |  8.685 % |
