Reading from standard input... Use '-h' or '--help' for help.
==================================[MINISAT]===================================
| Conflicts |     ORIGINAL     |              LEARNT              | Progress |
|           | Clauses Literals |   Limit Clauses Literals  Lit/Cl |          |
==============================================================================
|         0 | 3918059  9828385 | 1306019       0        0     nan |  0.000 % |
|       109 | 3918060  9828385 | 1436620     108    28583   264.7 |  8.613 % |
|       260 | 3918076  9828385 | 1580282     242    53759   222.1 |  8.614 % |
|       486 | 3918076  9828385 | 1738311     468   210280   449.3 |  8.614 % |
|       828 | 3918094  9828385 | 1912142     792   378250   477.6 |  8.614 % |
|      1335 | 3918098  9828385 | 2103356    1294   624547   482.6 |  8.614 % |
|      2094 | 3918126  9828385 | 2313692    2025   791630   390.9 |  8.614 % |
|      3233 | 3918126  9828367 | 2545061    3142  1514705   482.1 |  8.614 % |
|      4941 | 3918131  9828367 | 2799567    4845  1978661   408.4 |  8.614 % |
|      7504 | 3918169  9828358 | 3079524    7362  3257317   442.5 |  8.614 % |
|     11349 | 3918188  9828331 | 3387476   11156  5081065   455.5 |  8.614 % |
|     17115 | 3918195  9828331 | 3726224   16915  8487411   501.8 |  8.614 % |
|     25765 | 3918260  9828322 | 4098847   25489 12919890   506.9 |  8.615 % |
|     38741 | 3918310  9828277 | 4508731   38364 21601127   563.1 |  8.616 % |
|     58203 | 3918319  9828241 | 4959604   57774 40693389   704.4 |  8.616 % |
|     87400 | 3918360  9828169 | 5455565   86843 62030636   714.3 |  8.618 % |
|    131192 | 3918461  9828133 | 6001122  130486 92254322   707.0 |  8.619 % |
|    196878 | 3918502  9828034 | 6601234  196003 141943800   724.2 |  8.620 % |
|    295404 | 3918670  9828016 | 7261357  294314 240331658   816.6 |  8.625 % |
|    443195 | 3918654  9827662 | 7987493  441733 349575583   791.4 |  8.627 % |
|    664879 | 3918782  9827554 | 8786242  663098 517859480   781.0 |  8.630 % |
|    997405 | 3919609  9827455 | 9664867  994636 772600780   776.8 |  9.308 % |
