Reading from standard input... Use '-h' or '--help' for help.
==================================[MINISAT]===================================
| Conflicts |     ORIGINAL     |              LEARNT              | Progress |
|           | Clauses Literals |   Limit Clauses Literals  Lit/Cl |          |
==============================================================================
|         0 | 3918542  9829562 | 1306180       0        0     nan |  0.000 % |
|       109 | 3918543  9829562 | 1436798     108    28583   264.7 |  8.596 % |
|       260 | 3918550  9829562 | 1580477     251    43608   173.7 |  8.596 % |
|       488 | 3918552  9829562 | 1738525     477   152071   318.8 |  8.596 % |
|       825 | 3918557  9829562 | 1912378     807   302187   374.5 |  8.597 % |
|      1331 | 3918567  9829562 | 2103615    1303   499669   383.5 |  8.597 % |
|      2091 | 3918574  9829562 | 2313977    2056  1022954   497.5 |  8.597 % |
|      3230 | 3918596  9829562 | 2545375    3172  1534057   483.6 |  8.597 % |
|      4938 | 3918587  9829535 | 2799912    4865  2451610   503.9 |  8.597 % |
|      7502 | 3918609  9829535 | 3079904    7402  4855616   656.0 |  8.597 % |
|     11350 | 3918635  9829490 | 3387894   11180  7349523   657.4 |  8.598 % |
|     17117 | 3918723  9829490 | 3726683   16857  8855739   525.3 |  8.598 % |
|     25769 | 3918740  9829472 | 4099352   25475 12467537   489.4 |  8.598 % |
|     38743 | 3918763  9829454 | 4509287   38410 19321726   503.0 |  8.598 % |
|     58206 | 3918792  9829328 | 4960216   57701 39676341   687.6 |  8.601 % |
|     87398 | 3891980  9786829 | 5456238   86521 53922965   623.2 |  9.320 % |
|    131188 | 3891841  9786439 | 6001861  130085 94066781   723.1 |  9.321 % |
|    196873 | 3892095  9786343 | 6602047  195390 131273424   671.9 |  9.377 % |
|    295399 | 3890115  9783523 | 7262252  293337 214528289   731.3 |  9.397 % |
|    443190 | 3886297  9778540 | 7988478  440142 322405198   732.5 |  9.474 % |
|    664873 | 3886550  9778396 | 8787325  661409 492967309   745.3 |  9.693 % |
|    997398 | 3877957  9765681 | 9666058  991994 762066516   768.2 |  9.696 % |
