Reading from standard input... Use '-h' or '--help' for help.
==================================[MINISAT]===================================
| Conflicts |     ORIGINAL     |              LEARNT              | Progress |
|           | Clauses Literals |   Limit Clauses Literals  Lit/Cl |          |
==============================================================================
|         0 | 3918538  9829556 | 1306179       0        0     nan |  0.000 % |
|       109 | 3918539  9829556 | 1436796     108    28583   264.7 |  8.596 % |
|       259 | 3918548  9829556 | 1580476     247    39559   160.2 |  8.597 % |
|       484 | 3918551  9829556 | 1738524     469    79507   169.5 |  8.597 % |
|       821 | 3918558  9829556 | 1912376     799   245890   307.7 |  8.597 % |
|      1327 | 3918562  9829556 | 2103614    1301   515418   396.2 |  8.597 % |
|      2088 | 3918566  9829556 | 2313975    2058   666291   323.8 |  8.597 % |
|      3230 | 3918571  9829556 | 2545373    3195  1650502   516.6 |  8.597 % |
|      4945 | 3918576  9829538 | 2799910    4891  3271889   669.0 |  8.597 % |
|      7507 | 3918605  9829511 | 3079901    7395  4794886   648.4 |  8.597 % |
|     11352 | 3918635  9829511 | 3387891   11210  7671083   684.3 |  8.597 % |
|     17118 | 3918628  9829502 | 3726681   16976  8827822   520.0 |  8.597 % |
|     25767 | 3918690  9829502 | 4099349   25561 16045604   627.7 |  8.601 % |
|     38742 | 3889454  9784519 | 4509284   38399 23248950   605.5 |  9.362 % |
|     58210 | 3889093  9783955 | 4960212   57726 31346594   543.0 |  9.391 % |
|     87403 | 3888477  9782947 | 5456233   86594 45781643   528.7 |  9.393 % |
|    131193 | 3888458  9782662 | 6001857  130052 76787149   590.4 |  9.399 % |
|    196878 | 3888321  9782152 | 6602042  195383 127690390   653.5 |  9.409 % |
|    295404 | 3888342  9782152 | 7262247  293886 143214039   487.3 |  9.414 % |
|    443195 | 3887658  9780598 | 7988471  441144 272395071   617.5 |  9.432 % |
|    664878 | 3887726  9780136 | 8787319  662200 455384718   687.7 |  9.438 % |
|    997403 | 3886291  9777796 | 9666051  994097 722556403   726.8 |  9.478 % |
