Reading from standard input... Use '-h' or '--help' for help.
==================================[MINISAT]===================================
| Conflicts |     ORIGINAL     |              LEARNT              | Progress |
|           | Clauses Literals |   Limit Clauses Literals  Lit/Cl |          |
==============================================================================
|         0 | 3922609  9833782 | 1307536       0        0     nan |  0.000 % |
|       109 | 3922610  9833782 | 1438289     108    28583   264.7 |  8.540 % |
|       259 | 3922629  9833782 | 1582118     238    43246   181.7 |  8.540 % |
|       499 | 3922630  9833782 | 1740330     477   143970   301.8 |  8.540 % |
|       836 | 3922636  9833782 | 1914363     808   187256   231.8 |  8.540 % |
|      1342 | 3922644  9833782 | 2105799    1306   401294   307.3 |  8.540 % |
|      2116 | 3922653  9833782 | 2316379    2069   565222   273.2 |  8.541 % |
|      3267 | 3922678  9833782 | 2548017    3194   997101   312.2 |  8.541 % |
|      4975 | 3922671  9833755 | 2802819    4885  1996186   408.6 |  8.541 % |
|      7538 | 3922687  9833755 | 3083101    7432  2888409   388.6 |  8.541 % |
|     11383 | 3922726  9833755 | 3391411   11238  6683344   594.7 |  8.541 % |
|     17149 | 3922747  9833755 | 3730552   16983  8316734   489.7 |  8.541 % |
|     25799 | 3922933  9833755 | 4103608   25440 12000856   471.7 |  8.541 % |
|     38776 | 3923026  9833719 | 4513968   38275 24164427   631.3 |  8.542 % |
|     58239 | 3923058  9833620 | 4965365   57607 41953238   728.3 |  8.543 % |
|     87432 | 3923156  9833584 | 5461902   86647 58902073   679.8 |  8.544 % |
|    131223 | 3923403  9833539 | 6008092  130125 91532919   703.4 |  8.545 % |
|    196908 | 3923537  9833413 | 6608901  195543 144352812   738.2 |  8.547 % |
|    295436 | 3923590  9833059 | 7269792  293623 217174003   739.6 |  8.553 % |
|    443225 | 3923652  9832900 | 7996771  441126 336315886   762.4 |  8.557 % |
|    664908 | 3923983  9832882 | 8796448  662378 528666883   798.1 |  8.560 % |
|    997437 | 3924247  9832765 | 9676093  994447 817248589   821.8 |  8.563 % |
