Reading from standard input... Use '-h' or '--help' for help.
==================================[MINISAT]===================================
| Conflicts |     ORIGINAL     |              LEARNT              | Progress |
|           | Clauses Literals |   Limit Clauses Literals  Lit/Cl |          |
==============================================================================
|         0 | 3913492  9822705 | 1304497       0        0     nan |  0.000 % |
|       109 | 3913493  9822705 | 1434946     108    28583   264.7 |  8.733 % |
|       259 | 3913499  9822705 | 1578441     251    35385   141.0 |  8.734 % |
|       492 | 3913502  9822705 | 1736285     481    93093   193.5 |  8.734 % |
|       832 | 3913508  9822705 | 1909914     814   216113   265.5 |  8.734 % |
|      1343 | 3913521  9822705 | 2100905    1312   320082   244.0 |  8.734 % |
|      2103 | 3913529  9822705 | 2310996    2063   560143   271.5 |  8.734 % |
|      3243 | 3913525  9822678 | 2542095    3182  1014338   318.8 |  8.734 % |
|      4954 | 3913559  9822678 | 2796305    4858  2477909   510.1 |  8.734 % |
|      7518 | 3913566  9822678 | 3075935    7414  3858192   520.4 |  8.734 % |
|     11363 | 3913615  9822660 | 3383529   11194  6113189   546.1 |  8.734 % |
|     17130 | 3913659  9822651 | 3721882   16898 11346118   671.4 |  8.735 % |
|     25780 | 3913737  9822624 | 4094070   25433 15727632   618.4 |  8.735 % |
|     38757 | 3913815  9822597 | 4503477   38302 28468077   743.3 |  8.736 % |
|     58221 | 3913885  9822561 | 4953825   57650 45914751   796.4 |  8.736 % |
|     87419 | 3913913  9822480 | 5449207   86739 67403950   777.1 |  8.738 % |
|    131208 | 3896916  9793484 | 5994128  130124 97095373   746.2 |  9.147 % |
|    196893 | 3897055  9793448 | 6593541  195619 156388129   799.5 |  9.148 % |
|    295426 | 3896878  9792995 | 7252895  293838 227129685   773.0 |  9.155 % |
|    443219 | 3896961  9792905 | 7978185  441450 298633127   676.5 |  9.156 % |
|    664902 | 3897096  9792674 | 8776003  662719 490468772   740.1 |  9.160 % |
|    997427 | 3897391  9792557 | 9653603  994778 783784720   787.9 |  9.163 % |
