Reading from standard input... Use '-h' or '--help' for help.
==================================[MINISAT]===================================
| Conflicts |     ORIGINAL     |              LEARNT              | Progress |
|           | Clauses Literals |   Limit Clauses Literals  Lit/Cl |          |
==============================================================================
|         0 | 3917660  9828393 | 1305886       0        0     nan |  0.000 % |
|       109 | 3917661  9828393 | 1436474     108    28583   264.7 |  8.620 % |
|       259 | 3917665  9828393 | 1580122     253    54741   216.4 |  8.620 % |
|       484 | 3917666  9828393 | 1738134     477   120045   251.7 |  8.620 % |
|       821 | 3917671  9828393 | 1911947     809   186995   231.1 |  8.620 % |
|      1327 | 3917675  9828393 | 2103142    1311   317711   242.3 |  8.620 % |
|      2094 | 3917678  9828393 | 2313456    2075   517850   249.6 |  8.620 % |
|      3233 | 3917696  9828393 | 2544802    3194   753148   235.8 |  8.620 % |
|      4941 | 3917688  9828375 | 2799282    4893  1492271   305.0 |  8.620 % |
|      7503 | 3917723  9828375 | 3079210    7417  2153733   290.4 |  8.621 % |
|     11347 | 3917748  9828348 | 3387131   11211  4122382   367.7 |  8.621 % |
|     17113 | 3917786  9828321 | 3725845   16915  5304589   313.6 |  8.621 % |
|     25763 | 3917850  9828321 | 4098429   25501  7812241   306.4 |  8.621 % |
|     38737 | 3917914  9828312 | 4508272   38403 13548139   352.8 |  8.621 % |
|     58200 | 3891410  9787245 | 4959099   56799 22318270   392.9 |  9.321 % |
|     87392 | 3891317  9786954 | 5455009   85790 64580501   752.8 |  9.328 % |
|    131182 | 3891342  9786849 | 6000510  129380 96299025   744.3 |  9.329 % |
|    196866 | 3891530  9786777 | 6600561  194787 147649113   758.0 |  9.332 % |
|    295392 | 3891522  9786621 | 7260618  293113 228948290   781.1 |  9.335 % |
|    443183 | 3890933  9785442 | 7986679  440457 343136114   779.0 |  9.355 % |
|    664867 | 3891022  9785082 | 8785347  661789 513020318   775.2 |  9.361 % |
|    997395 | 3889467  9782369 | 9663882  993566 703088504   707.6 |  9.427 % |
