Reading from standard input... Use '-h' or '--help' for help.
==================================[MINISAT]===================================
| Conflicts |     ORIGINAL     |              LEARNT              | Progress |
|           | Clauses Literals |   Limit Clauses Literals  Lit/Cl |          |
==============================================================================
|         0 | 3916341  9826678 | 1305447       0        0     nan |  0.000 % |
|       109 | 3916342  9826678 | 1435991     108    28583   264.7 |  8.656 % |
|       259 | 3916348  9826678 | 1579590     251    35385   141.0 |  8.656 % |
|       485 | 3916353  9826678 | 1737549     472    71899   152.3 |  8.656 % |
|       822 | 3916356  9826678 | 1911304     806   214881   266.6 |  8.656 % |
|      1328 | 3916361  9826678 | 2102435    1307   414953   317.5 |  8.656 % |
|      2089 | 3916371  9826678 | 2312678    2058   654154   317.9 |  8.656 % |
|      3229 | 3916374  9826669 | 2543946    3183  1308972   411.2 |  8.656 % |
|      4937 | 3916392  9826669 | 2798341    4873  2213567   454.3 |  8.656 % |
|      7500 | 3916422  9826669 | 3078175    7406  3456806   466.8 |  8.656 % |
|     11345 | 3916462  9826669 | 3385993   11207  5391358   481.1 |  8.656 % |
|     17111 | 3916544  9826660 | 3724592   16882 10196297   604.0 |  8.656 % |
|     25761 | 3894021  9791306 | 4097051   25173 14161111   562.6 |  9.237 % |
|     38738 | 3894064  9791306 | 4506757   38103 20674544   542.6 |  9.237 % |
|     58199 | 3894078  9791180 | 4957432   57419 33895213   590.3 |  9.238 % |
|     87393 | 3894142  9790904 | 5453176   86391 53026656   613.8 |  9.241 % |
|    131182 | 3894245  9790790 | 5998493  129970 89036171   685.1 |  9.243 % |
|    196866 | 3894411  9790736 | 6598343  195420 140479282   718.9 |  9.244 % |
|    295394 | 3894268  9790337 | 7258177  293674 213669446   727.6 |  9.250 % |
|    443184 | 3893535  9788892 | 7983995  441132 325480909   737.8 |  9.272 % |
|    664868 | 3893251  9788073 | 8782394  662479 508525219   767.6 |  9.291 % |
|    997395 | 3893216  9787842 | 9660634  994737 817515823   821.8 |  9.302 % |
