Reading from standard input... Use '-h' or '--help' for help.
==================================[MINISAT]===================================
| Conflicts |     ORIGINAL     |              LEARNT              | Progress |
|           | Clauses Literals |   Limit Clauses Literals  Lit/Cl |          |
==============================================================================
|         0 | 3916495  9826650 | 1305498       0        0     nan |  0.000 % |
|       109 | 3916496  9826650 | 1436047     108    28583   264.7 |  8.654 % |
|       259 | 3916502  9826650 | 1579652     251    35385   141.0 |  8.654 % |
|       485 | 3916507  9826650 | 1737617     472    71833   152.2 |  8.654 % |
|       823 | 3916516  9826650 | 1911379     801   214702   268.0 |  8.654 % |
|      1335 | 3916522  9826650 | 2102517    1307   351914   269.3 |  8.654 % |
|      2094 | 3916540  9826650 | 2312769    2048   550950   269.0 |  8.654 % |
|      3233 | 3916538  9826641 | 2544046    3182   874792   274.9 |  8.654 % |
|      4944 | 3916544  9826641 | 2798450    4887  1104295   226.0 |  8.654 % |
|      7506 | 3916490  9826566 | 3078295    7410  2076604   280.2 |  8.655 % |
|     11350 | 3916501  9826566 | 3386125   11241  3934901   350.0 |  8.660 % |
|     17116 | 3916293  9826263 | 3724738   16917  6421506   379.6 |  9.211 % |
|     25766 | 3894344  9791546 | 4097211   25299 13238826   523.3 |  9.212 % |
|     38741 | 3894489  9791546 | 4506933   38129 21142162   554.5 |  9.212 % |
|     58203 | 3894551  9791483 | 4957626   57460 32476460   565.2 |  9.213 % |
|     87395 | 3894763  9791348 | 5453389   86306 49562803   574.3 |  9.217 % |
|    131190 | 3894716  9791174 | 5998728  129962 92017593   708.0 |  9.219 % |
|    196874 | 3894761  9791075 | 6598600  195446 138855342   710.5 |  9.221 % |
|    295401 | 3894769  9790904 | 7258460  293746 216783431   738.0 |  9.224 % |
|    443192 | 3895029  9790859 | 7984307  441177 324720191   736.0 |  9.226 % |
|    664875 | 3895176  9790769 | 8782737  662546 504038760   760.8 |  9.229 % |
|    997401 | 3895428  9790724 | 9661011  994713 778948128   783.1 |  9.231 % |
