Reading from standard input... Use '-h' or '--help' for help.
==================================[MINISAT]===================================
| Conflicts |     ORIGINAL     |              LEARNT              | Progress |
|           | Clauses Literals |   Limit Clauses Literals  Lit/Cl |          |
==============================================================================
|         0 | 3918585  9829586 | 1306195       0        0     nan |  0.000 % |
|       109 | 3918586  9829586 | 1436814     108    28583   264.7 |  8.596 % |
|       259 | 3918596  9829586 | 1580495     245    34981   142.8 |  8.596 % |
|       508 | 3918607  9829586 | 1738545     483    65522   135.7 |  8.596 % |
|       845 | 3918608  9829586 | 1912400     819   197148   240.7 |  8.596 % |
|      1351 | 3918611  9829586 | 2103640    1322   460531   348.4 |  8.596 % |
|      2110 | 3918622  9829586 | 2314004    2069   587041   283.7 |  8.596 % |
|      3253 | 3918632  9829586 | 2545404    3202  1040485   324.9 |  8.596 % |
|      4963 | 3918632  9829559 | 2799944    4887  1695800   347.0 |  8.596 % |
|      7525 | 3918657  9829559 | 3079939    7418  2772592   373.8 |  8.597 % |
|     11369 | 3918648  9829505 | 3387933   11218  4989666   444.8 |  8.598 % |
|     17138 | 3918620  9829454 | 3726726   16963  7487448   441.4 |  8.598 % |
|     25790 | 3918693  9829445 | 4099399   25523 10941711   428.7 |  8.598 % |
|     38771 | 3918861  9829421 | 4509339   38306 16289381   425.2 |  8.600 % |
|     58233 | 3890328  9785315 | 4960273   56333 22434786   398.3 |  9.346 % |
|     87425 | 3889695  9784286 | 5456300   85216 46177987   541.9 |  9.351 % |
|    131214 | 3888855  9783191 | 6001930  128783 78327962   608.2 |  9.382 % |
|    196903 | 3889069  9783137 | 6602123  194187 126791986   652.9 |  9.383 % |
|    295429 | 3889212  9783074 | 7262336  292491 208995539   714.5 |  9.384 % |
|    443219 | 3889356  9782906 | 7988569  439914 317354458   721.4 |  9.397 % |
|    664905 | 3887381  9779884 | 8787426  660884 490711153   742.5 |  9.439 % |
|    997438 | 3887225  9779362 | 9666169  993055 828760082   834.6 |  9.443 % |
