Reading from standard input... Use '-h' or '--help' for help.
==================================[MINISAT]===================================
| Conflicts |     ORIGINAL     |              LEARNT              | Progress |
|           | Clauses Literals |   Limit Clauses Literals  Lit/Cl |          |
==============================================================================
|         0 | 3918063  9828391 | 1306021       0        0     nan |  0.000 % |
|       109 | 3918064  9828391 | 1436623     108    28583   264.7 |  8.613 % |
|       259 | 3918070  9828391 | 1580285     251    63017   251.1 |  8.613 % |
|       495 | 3918073  9828391 | 1738313     484   155954   322.2 |  8.613 % |
|       832 | 3918085  9828391 | 1912145     809   251124   310.4 |  8.613 % |
|      1338 | 3918093  9828391 | 2103359    1306   419611   321.3 |  8.614 % |
|      2097 | 3918096  9828391 | 2313695    2061   574121   278.6 |  8.614 % |
|      3236 | 3918105  9828391 | 2545065    3191  1078752   338.1 |  8.614 % |
|      4945 | 3918132  9828391 | 2799572    4872  1673858   343.6 |  8.614 % |
|      7507 | 3918133  9828364 | 3079529    7405  2795153   377.5 |  8.614 % |
|     11368 | 3918135  9828328 | 3387482   11230  5142676   457.9 |  8.614 % |
|     17136 | 3918210  9828328 | 3726230   16922  7625021   450.6 |  8.614 % |
|     25785 | 3918307  9828310 | 4098853   25444 12221122   480.3 |  8.615 % |
|     38761 | 3918470  9828274 | 4508738   38213 18404445   481.6 |  8.617 % |
|     58222 | 3918499  9828139 | 4959612   57500 32087332   558.0 |  8.618 % |
|     87417 | 3918420  9827821 | 5455573   86455 53243547   615.9 |  9.230 % |
|    131206 | 3894210  9789593 | 6001131  129574 88112723   680.0 |  9.233 % |
|    196890 | 3894283  9789530 | 6601244  195103 141696224   726.3 |  9.234 % |
|    295418 | 3894375  9789404 | 7261368  293376 225833575   769.8 |  9.237 % |
|    443210 | 3894634  9789341 | 7987505  440822 347483618   788.3 |  9.239 % |
|    664895 | 3895098  9789269 | 8786256  661920 511407169   772.6 |  9.378 % |
|    997421 | 3889254  9782087 | 9664881  993372 764524523   769.6 |  9.405 % |
