Reading from standard input... Use '-h' or '--help' for help.
==================================[MINISAT]===================================
| Conflicts |     ORIGINAL     |              LEARNT              | Progress |
|           | Clauses Literals |   Limit Clauses Literals  Lit/Cl |          |
==============================================================================
|         0 | 3917199  9827869 | 1305733       0        0     nan |  0.000 % |
|       109 | 3917200  9827869 | 1436306     108    28583   264.7 |  8.633 % |
|       259 | 3917205  9827869 | 1579936     252    50387   199.9 |  8.633 % |
|       486 | 3917205  9827869 | 1737930     479    59302   123.8 |  8.633 % |
|       825 | 3917215  9827869 | 1911723     808   138984   172.0 |  8.633 % |
|      1341 | 3917226  9827869 | 2102896    1312   300733   229.2 |  8.633 % |
|      2101 | 3917233  9827869 | 2313185    2065   518427   251.1 |  8.633 % |
|      3244 | 3917248  9827869 | 2544504    3193   899250   281.6 |  8.633 % |
|      4954 | 3917255  9827851 | 2798954    4878  1907661   391.1 |  8.633 % |
|      7516 | 3917274  9827833 | 3078850    7401  4488507   606.5 |  8.634 % |
|     11360 | 3917311  9827806 | 3386735   11184  5925442   529.8 |  8.634 % |
|     17127 | 3917373  9827806 | 3725408   16887  9067909   537.0 |  8.634 % |
|     25777 | 3917405  9827779 | 4097949   25466 14689030   576.8 |  8.635 % |
|     38752 | 3917379  9827644 | 4507744   38305 19800930   516.9 |  8.637 % |
|     58213 | 3917381  9827617 | 4958518   57743 23510092   407.2 |  8.637 % |
|     87406 | 3917410  9827617 | 5454370   86907 28627531   329.4 |  8.637 % |
|    131196 | 3917417  9827617 | 5999807  130690 36508486   279.4 |  8.637 % |
|    196883 | 3917432  9827617 | 6599788  196362 48980514   249.4 |  8.637 % |
|    295411 | 3917440  9827617 | 7259767  294882 67940247   230.4 |  8.637 % |
|    443201 | 3917444  9827617 | 7985744  442668 95776762   216.4 |  8.637 % |
|    664886 | 3917450  9827617 | 8784318  664347 138422734   208.4 |  8.637 % |
|    997411 | 3917464  9827617 | 9662750  996858 201847529   202.5 |  8.637 % |
|   1496200 | 3917252  9827335 | 10629025 1495600 297301411   198.8 |  8.641 % |
|   2244386 | 3917270  9827335 | 11691928 2243768 441879726   196.9 |  8.641 % |
