Reading from standard input... Use '-h' or '--help' for help.
==================================[MINISAT]===================================
| Conflicts |     ORIGINAL     |              LEARNT              | Progress |
|           | Clauses Literals |   Limit Clauses Literals  Lit/Cl |          |
==============================================================================
|         0 | 3915822  9825313 | 1305274       0        0     nan |  0.000 % |
|       109 | 3915823  9825313 | 1435801     108    28583   264.7 |  8.669 % |
|       262 | 3915827  9825313 | 1579381     256    58468   228.4 |  8.669 % |
|       492 | 3915832  9825313 | 1737319     480   127722   266.1 |  8.669 % |
|       829 | 3915833  9825313 | 1911051     815   291611   357.8 |  8.669 % |
|      1335 | 3915834  9825313 | 2102156    1320   479934   363.6 |  8.669 % |
|      2094 | 3915847  9825313 | 2312372    2066   733541   355.1 |  8.669 % |
|      3233 | 3915857  9825313 | 2543609    3195  1002680   313.8 |  8.669 % |
|      4941 | 3915844  9825295 | 2797970    4900  1619767   330.6 |  8.669 % |
|      7503 | 3915859  9825295 | 3077767    7447  2290043   307.5 |  8.669 % |
|     11357 | 3892125  9786197 | 3385544   11156  4226307   378.8 |  9.260 % |
|     17124 | 3891916  9785891 | 3724099   16848  5711425   339.0 |  9.260 % |
|     25773 | 3892000  9785864 | 4096508   25386 12453292   490.6 |  9.262 % |
|     38747 | 3892047  9785738 | 4506159   38175 19929920   522.1 |  9.263 % |
|     58208 | 3892133  9785702 | 4956775   57504 34103244   593.1 |  9.264 % |
|     87402 | 3892179  9785576 | 5452453   86523 57057521   659.4 |  9.266 % |
|    131192 | 3892335  9785495 | 5997698  130065 85996863   661.2 |  9.267 % |
|    196879 | 3892411  9785336 | 6597468  195522 143828324   735.6 |  9.273 % |
|    295408 | 3892552  9785211 | 7257215  293772 200080421   681.1 |  9.274 % |
|    443198 | 3892797  9785058 | 7982937  441122 311487770   706.1 |  9.276 % |
|    664882 | 3893096  9784968 | 8781230  662388 485298323   732.6 |  9.279 % |
|    997407 | 3893346  9784890 | 9659353  994481 775877963   780.2 |  9.281 % |
